SAMPLE_PK,COMMODITYCOMMTYPE,CommodityType,Lab,Pestcode,Testclass,CONCEN,LOD,CONNUNIT,CONFMETHOD,CONFMETHOD2,ANNOTATE,QUANTITATE,MEAN,EXTRACT,DETERMIN
1,AP,FR,WA1,171,C,,0.005,M,,,,,ND,805,52
1,AP,FR,WA1,172,A,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,173,A,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,175,C,,0.002,M,,,,,ND,805,52
1,AP,FR,WA1,178,C,,0.02,M,,,,,ND,805,52
1,AP,FR,WA1,180,E,,0.0015,M,,,,,ND,805,52
1,AP,FR,WA1,189,C,,0.01,M,,,,,ND,805,52
1,AP,FR,WA1,190,C,,0.01,M,,,,,ND,805,52
1,AP,FR,WA1,191,A,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,197,C,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,204,C,,0.03,M,,,,,ND,805,52
1,AP,FR,WA1,208,C,,0.002,M,,,,,ND,805,52
1,AP,FR,WA1,216,C,,0.02,M,,,,,ND,805,52
1,AP,FR,WA1,217,C,,0.002,M,,,,,ND,805,35
1,AP,FR,WA1,219,C,,0.002,M,,,,,ND,805,52
1,AP,FR,WA1,222,O,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,223,O,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,224,C,,0.075,M,,,,,ND,805,35
1,AP,FR,WA1,230,F,,0.05,M,,,,,ND,805,52
1,AP,FR,WA1,237,C,,0.004,M,,,,,ND,805,52
1,AP,FR,WA1,239,C,,0.004,M,,,,,ND,805,52
1,AP,FR,WA1,245,C,,0.002,M,,,,,ND,805,52
1,AP,FR,WA1,254,A,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,256,E,,0.001,M,,,,,ND,805,52
1,AP,FR,WA1,264,L,,0.01,M,,,,,ND,805,52
1,AP,FR,WA1,283,A,,0.001,M,,,,,ND,805,52
1,AP,FR,WA1,297,O,,0.05,M,,,,,ND,805,35
1,AP,FR,WA1,299,G,,0.001,M,,,,,ND,805,35
1,AP,FR,WA1,303,C,,0.02,M,,,,,ND,805,52
1,AP,FR,WA1,304,A,,0.004,M,,,,,ND,805,35
1,AP,FR,WA1,305,R,,0.002,M,,,,,ND,805,52
1,AP,FR,WA1,324,T,,0.01,M,,,,,ND,805,35
1,AP,FR,WA1,338,C,,0.02,M,,,,,ND,805,52
