SAMPLE_PK,COMMODITYCOMMTYPE,CommodityType,Lab,Pestcode,Testclass,CONCEN,LOD,CONNUNIT,CONFMETHOD,CONFMETHOD2,ANNOTATE,QUANTITATE,MEAN,EXTRACT,DETERMIN
1,AP,FR,CA1,1,A,,0.008,M,,,,,N,551,1
1,AP,FR,CA1,2,O,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,11,A,,0.012,M,,,,,N,551,1
1,AP,FR,CA1,24,C,,0.002,M,,,,,N,550,2
1,AP,FR,CA1,28,A,,0.006,M,,,,,N,551,1
1,AP,FR,CA1,32,A,,0.011,M,,,,,N,553,62
1,AP,FR,CA1,42,C,0.013,0.008,M,C,,Q,M,O,550,2
1,AP,FR,CA1,50,A,,0.002,M,,,,,N,551,1
1,AP,FR,CA1,52,C,,0.004,M,,,,,N,550,2
1,AP,FR,CA1,70,I,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,83,I,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,102,E,,0.002,M,,,,,N,553,62
1,AP,FR,CA1,108,A,,0.012,M,,,,,N,551,1
1,AP,FR,CA1,125,F,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,126,A,,0.017,M,,,,,N,551,1
1,AP,FR,CA1,149,R,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,152,A,,0.02,M,,,,,N,552,7
1,AP,FR,CA1,157,B,,0.03,M,,,,,N,552,7
1,AP,FR,CA1,159,E,,0.014,M,,,,,N,553,62
1,AP,FR,CA1,160,C,,0.004,M,,,,,N,550,2
1,AP,FR,CA1,165,C,,0.005,M,,,,,N,550,2
1,AP,FR,CA1,166,C,,0.006,M,,,,,N,550,2
1,AP,FR,CA1,170,C,,0.002,M,,,,,N,550,2
1,AP,FR,CA1,171,C,,0.002,M,,,,,N,550,2
1,AP,FR,CA1,172,A,,0.002,M,,,,,N,551,1
1,AP,FR,CA1,173,A,,0.002,M,,,,,N,551,1
1,AP,FR,CA1,178,C,,0.004,M,,,,,N,550,2
1,AP,FR,CA1,197,C,,0.004,M,,,,,N,550,2
1,AP,FR,CA1,204,C,,0.002,M,,,,,N,550,2
1,AP,FR,CA1,208,C,,0.003,M,,,,,N,550,2
1,AP,FR,CA1,222,O,,0.012,M,,,,,N,552,7
1,AP,FR,CA1,223,O,,0.012,M,,,,,N,552,7
1,AP,FR,CA1,236,C,,0.004,M,,,,,N,550,2
1,AP,FR,CA1,245,C,,0.015,M,,,,,N,550,2
1,AP,FR,CA1,254,A,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,271,A,,0.015,M,,,,,N,552,7
1,AP,FR,CA1,324,T,,0.005,M,,,,,N,551,1
1,AP,FR,CA1,338,C,,0.002,M,,,,,N,550,2
1,AP,FR,CA1,395,C,,0.003,M,,,,,N,550,2
1,AP,FR,CA1,537,E,,0.008,M,,,,,N,553,62
1,AP,FR,CA1,540,A,,0.007,M,,,,,N,551,1
1,AP,FR,CA1,556,O,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,594,F,,0.02,M,,,,,N,552,7
1,AP,FR,CA1,596,A,,0.02,M,,,,,N,552,7
1,AP,FR,CA1,597,O,,0.03,M,,,,,N,551,68
1,AP,FR,CA1,607,F,,0.01,M,,,,,N,552,7
1,AP,FR,CA1,608,L,,0.025,M,,,,,N,552,7
1,AP,FR,CA1,612,O,,0.015,M,,,,,N,551,68
1,AP,FR,CA1,624,A,,0.04,M,,,,,N,552,7
1,AP,FR,CA1,636,C,,0.003,M,,,,,N,550,2
1,AP,FR,CA1,658,E,,0.002,M,,,,,N,553,62
