SAMPLE_PK,STATE,YEAR,MONTH,DATE,SITE,COMMODITY,SOURCE_ID,VARIETY,GRADE,ORIGIN,COUNTRY,DISTTYPE,COMMTYPE,CLAIM,QUANTITY,GROWST,PACKST,DISTST
1,CA,4,1,7,1,AP, ,Pink Lady,,1,,D,FR,NC,15,,WA,
2,CA,4,1,7,10,AP, ,Gala,,1,,D,FR,NC,10,,,WA
3,CA,4,1,7,17,AP, ,Red Delicious,,1,,D,FR,NC,15,,,WA
4,CA,4,1,7,74,AP, ,Braeburn,,1,,T,FR,NC,11,,,WA
5,CA,4,1,7,130,AP, ,Red Delicious,,1,,H,FR,NC,15,,WA,WA
6,CA,4,1,7,152,AP, ,Golden Delicious,,1,,D,FR,NC,15,,,WA
7,CA,4,1,7,212,AP, ,Granny Smith,,1,,T,FR,NC,12,,,WA
8,CA,4,1,7,252,AP, ,Golden Delicious,,1,,D,FR,NC,15,,,WA
9,CA,4,1,7,390,AP, ,Granny Smith,,1,,L,FR,NC,17,,,WA
10,CA,4,1,7,447,AP, ,Red Delicious,,1,,H,FR,NC,18,,WA,WA
11,CA,4,1,7,450,AP, ,Fuji,,1,,D,FR,NC,10,,WA,WA
12,CA,4,1,7,469,AP, ,Fuji,,1,,O,FR,NC,10,,,WA
13,CA,4,1,7,470,AP, ,Red Delicious,,1,,O,FR,NC,13,WA,,WA
14,CA,4,1,7,484,AP,P,Cameo,,1,,R,FR,PO,11,,,WA
15,CA,4,2,4,10,AP, ,Fuji,,1,,D,FR,NC,22,,,WA
16,CA,4,2,4,55,AP, ,Fuji,,1,,T,FR,NC,12,,WA,
17,CA,4,2,4,87,AP, ,Red Delicious,,1,,T,FR,NC,16,,WA,WA
18,CA,4,2,4,99,AP, ,Fuji,,1,,T,FR,NC,12,,,WA
19,CA,4,2,4,122,AP, ,Fuji,,1,,D,FR,NC,20,,,WA
20,CA,4,2,4,128,AP, ,Red Delicious,,1,,H,FR,NC,16,,,WA
21,CA,4,2,4,136,AP, ,Fuji,,1,,O,FR,NC,19,CA,CA,
22,CA,4,2,4,217,AP, ,Red Delicious,,1,,T,FR,NC,17,,,WA
23,CA,4,2,4,263,AP, ,Fuji,,1,,T,FR,NC,22,,WA,
24,CA,4,2,4,278,AP, ,Granny Smith,,1,,D,FR,NC,12,,,WA
25,CA,4,2,4,399,AP, ,Red Delicious,,1,,H,FR,NC,26,,,WA
26,CA,4,2,4,447,AP, ,Fuji,,1,,H,FR,NC,21,,WA,WA
27,CA,4,2,4,450,AP, ,Gala,,1,,D,FR,NC,13,,WA,
